frame,total,depth_prepass,forward,index_count
2110,1.66099,0.19060,1.46312,10195232.40000
2120,1.84422,0.20940,1.62776,10491190.80000
2130,1.83224,0.21020,1.61410,10491226.80000
2140,1.93417,0.21077,1.71550,10606616.40000
2150,1.89870,0.21254,1.67913,10839546.30000
2160,1.70000,0.20486,1.48922,10082360.10000
2170,1.28294,0.11246,1.16060,7223112.00000
2180,1.28068,0.09810,1.17461,6549874.20000
2190,1.17974,0.09096,1.08190,6266152.50000
2200,0.88719,0.07603,0.80426,5132634.90000
2210,0.45239,0.05247,0.39282,3836330.40000
2220,0.28769,0.04947,0.23094,3796645.80000
2230,0.18501,0.04007,0.13767,2713873.80000
2240,0.08670,0.01674,0.06280,1232427.90000
2250,0.03190,0.00753,0.01691,384978.60000
2260,0.04652,0.00589,0.03354,521978.40000
2270,0.17519,0.03625,0.13196,2713873.80000
2280,0.11228,0.01687,0.08830,1252506.00000
2290,0.09706,0.01700,0.07314,1252506.00000
2300,0.02619,0.00398,0.01508,130779.00000
2310,0.01371,0.00201,0.00497,0.00000
2320,0.01403,0.00215,0.00496,0.00000
2330,0.01389,0.00213,0.00496,0.00000
2340,0.01390,0.00199,0.00496,0.00000
2350,0.01406,0.00232,0.00495,0.00000
2360,0.01411,0.00220,0.00498,0.00000
2370,0.01392,0.00206,0.00495,0.00000
2380,0.01423,0.00224,0.00496,0.00000
2390,0.01410,0.00230,0.00495,0.00000
