frame,total,visibility,gbuffer,lighting,tonemap,index_count
2340,0.92106,0.07617,0.20541,0.56241,0.05961,338605.20000
2350,1.01092,0.13680,0.21636,0.57392,0.06570,820940.40000
2360,1.29318,0.35380,0.25595,0.58954,0.07436,2292100.80000
2370,1.41139,0.45490,0.27242,0.58985,0.07398,3113620.80000
2380,1.45003,0.49014,0.27521,0.59034,0.07431,3406416.60000
2390,1.46514,0.50179,0.27853,0.59010,0.07433,3616381.50000
2400,1.46816,0.50020,0.28276,0.59003,0.07424,3699828.60000
2410,1.49959,0.52949,0.28394,0.59017,0.07440,3925751.10000
2420,1.50367,0.53281,0.28459,0.59035,0.07418,4025318.10000
2430,1.49550,0.52322,0.28608,0.59008,0.07419,4000084.50000
2440,1.51426,0.54092,0.28775,0.58990,0.07404,4012182.00000
2450,1.53278,0.55398,0.29238,0.59057,0.07402,4235579.10000
2460,1.54340,0.56203,0.29466,0.59026,0.07388,4352648.40000
2470,1.55297,0.57008,0.29590,0.59030,0.07412,4330349.40000
2480,1.54703,0.56448,0.29529,0.59079,0.07429,4303959.00000
2490,1.54046,0.55660,0.29605,0.59101,0.07450,4250489.40000
2500,1.53538,0.55260,0.29430,0.59124,0.07520,4142218.80000
2510,1.52790,0.54695,0.29292,0.59100,0.07492,4022292.00000
2520,1.52982,0.54718,0.29489,0.59082,0.07479,3971352.60000
2530,1.54220,0.56004,0.29576,0.59019,0.07474,3907880.10000
2540,1.54740,0.56382,0.29647,0.59076,0.07434,3891210.30000
2550,1.54282,0.56033,0.29542,0.59065,0.07480,3820466.10000
2560,1.52345,0.54424,0.29237,0.59066,0.07480,3641290.50000
2570,1.53953,0.56369,0.28797,0.59065,0.07507,3412900.80000
2580,1.53672,0.56614,0.28482,0.59038,0.07502,3117270.90000
2590,1.54446,0.57655,0.28276,0.59035,0.07503,2952465.00000
2600,1.55506,0.58804,0.28222,0.59020,0.07504,2794729.80000
2610,1.56800,0.60407,0.27895,0.59003,0.07494,2650371.00000
2620,1.57042,0.60948,0.27562,0.59028,0.07492,2476175.10000
2630,1.57864,0.62062,0.27270,0.59024,0.07536,2441729.40000
2640,1.58236,0.62629,0.27203,0.58954,0.07485,2427030.60000
2650,1.52552,0.56433,0.27713,0.58988,0.07452,2381548.20000
2660,1.41655,0.44791,0.28300,0.59096,0.07515,2292001.20000
2670,1.40867,0.44090,0.28212,0.59113,0.07520,2173844.10000
2680,1.41648,0.44952,0.28156,0.59116,0.07489,2113620.90000
2690,1.42942,0.46262,0.28101,0.59125,0.07518,2017259.40000
2700,1.44788,0.47889,0.28308,0.59146,0.07530,1987000.80000
2710,1.44029,0.46944,0.28485,0.59159,0.07537,1967607.00000
2720,1.36117,0.38761,0.28787,0.59145,0.07503,1976160.00000
2730,1.31556,0.34362,0.28610,0.59186,0.07508,1918605.60000
2740,1.31145,0.34614,0.27932,0.59169,0.07498,1731047.40000
2750,1.29260,0.33032,0.27700,0.59147,0.07466,1678291.50000
2760,1.28806,0.32938,0.27350,0.59112,0.07464,1666366.50000
2770,1.28177,0.32436,0.27283,0.59117,0.07470,1596189.60000
2780,1.25713,0.29751,0.27372,0.59118,0.07502,1552311.90000
2790,1.24548,0.28413,0.27587,0.59129,0.07484,1532215.20000
2800,1.25082,0.28873,0.27681,0.59118,0.07462,1507988.40000
2810,1.26838,0.30507,0.27759,0.59149,0.07487,1469892.60000
2820,1.28754,0.32415,0.27781,0.59146,0.07494,1462158.00000
2830,1.30237,0.33901,0.27792,0.59177,0.07484,1471910.40000
