frame,total,visibility,gbuffer,lighting,tonemap,index_count
1670,4.81003,1.83084,2.23043,0.57554,0.06526,26109399.00000
1680,4.92602,1.83474,2.26617,0.57638,0.06564,26203521.30000
1690,4.97721,1.83107,2.29317,0.57535,0.06558,26437684.80000
1700,4.95306,1.82052,2.30841,0.57343,0.06485,26437692.60000
1710,4.98884,1.81866,2.28819,0.57272,0.06403,26437698.00000
1720,5.09630,1.83944,2.29516,0.57244,0.06350,26437699.80000
1730,4.92252,1.82240,2.27621,0.57049,0.06304,26437711.20000
1740,4.97470,1.77514,2.12243,0.57138,0.06360,26356110.00000
1750,4.55700,1.76358,2.03654,0.56852,0.06199,26254093.80000
1760,4.94036,1.77962,2.00099,0.56999,0.06254,26437722.60000
1770,4.59609,1.79979,2.01408,0.56727,0.06096,26437728.00000
1780,4.70484,1.83442,2.01394,0.56684,0.06084,26437728.00000
1790,4.64186,1.83152,1.94949,0.56663,0.05992,26437728.00000
1800,4.54536,1.83504,1.94736,0.56612,0.05804,26437728.00000
1810,4.62125,1.83704,1.96136,0.56613,0.05814,26437723.80000
1820,4.48886,1.83545,1.97420,0.56604,0.05654,26437713.60000
1830,4.64660,1.83577,1.96836,0.56694,0.05874,26437706.40000
1840,4.58388,1.83344,1.92483,0.56736,0.05880,26437698.00000
1850,4.53522,1.83486,1.90658,0.56728,0.05796,26437692.00000
1860,4.69885,1.83522,1.95127,0.56840,0.06022,26437693.80000
1870,4.66336,1.83728,1.98923,0.56836,0.05985,26437693.80000
1880,4.94129,1.84254,2.06932,0.57055,0.06215,26437686.60000
1890,4.66152,1.84232,2.09056,0.56906,0.06094,26437678.80000
1900,4.75447,1.84361,2.12141,0.57056,0.06225,26437671.00000
1910,4.97666,1.84692,2.14601,0.57247,0.06363,26437662.00000
1920,4.83354,1.84691,2.20676,0.57242,0.06415,26437653.60000
1930,5.00447,1.85393,2.24824,0.57470,0.06586,26437639.20000
1940,5.15473,1.85507,2.30330,0.57654,0.06706,26437625.40000
1950,5.04073,1.85621,2.34657,0.57649,0.06768,26437611.00000
1960,5.01186,1.85203,2.33310,0.57806,0.06861,26437594.80000
1970,5.22122,1.84399,2.28676,0.58134,0.07017,26437580.40000
1980,4.88084,1.84632,2.25614,0.58097,0.07038,26245041.60000
1990,4.83609,1.81220,2.21409,0.57884,0.06824,25570368.60000
2000,4.83694,1.80273,2.10829,0.57856,0.06646,25420224.60000
2010,4.75368,1.80480,2.09192,0.57904,0.06738,25374571.20000
2020,4.74187,1.79320,2.08429,0.58042,0.06861,25355345.40000
2030,4.70136,1.73803,2.06780,0.58098,0.06861,24761157.60000
2040,4.46070,1.63914,1.98975,0.57817,0.06747,23847528.90000
2050,4.69632,1.58499,2.04113,0.58166,0.06796,23515125.60000
2060,4.64230,1.58999,2.20798,0.58262,0.07144,23862561.00000
