scene,metric,metric_label,renderer,series,series_kind,pearson_r
sponza_ivy,rasterized_triangles,Rasterized triangle count,Deferred,lighting,pass,-0.05414081059892114
sponza_ivy,rasterized_triangles,Rasterized triangle count,Deferred,tonemap,pass,-0.34303579518262045
sponza_ivy,rasterized_triangles,Rasterized triangle count,Prepass,total,total,0.7919260603781096
sponza_ivy,rasterized_triangles,Rasterized triangle count,Prepass,depth_prepass,pass,0.8334763120818349
sponza_ivy,rasterized_triangles,Rasterized triangle count,Prepass,geometry,pass,0.7104330053276621
sponza_ivy,rasterized_triangles,Rasterized triangle count,Prepass,lighting,pass,-0.17752128673209633
sponza_ivy,rasterized_triangles,Rasterized triangle count,Prepass,tonemap,pass,0.24215774187176106
sponza_ivy,rasterized_triangles,Rasterized triangle count,VisBuf,total,total,0.8313196507194324
sponza_ivy,rasterized_triangles,Rasterized triangle count,VisBuf,visibility,pass,0.8719823453188882
sponza_ivy,rasterized_triangles,Rasterized triangle count,VisBuf,gbuffer,pass,0.6523127765676856
sponza_ivy,rasterized_triangles,Rasterized triangle count,VisBuf,lighting,pass,-0.024039254586626594
sponza_ivy,rasterized_triangles,Rasterized triangle count,VisBuf,tonemap,pass,0.35380384252165
sponza_ivy,skipped_triangles,Skipped triangle count,Deferred,total,total,0.6484516034683008
sponza_ivy,skipped_triangles,Skipped triangle count,Deferred,geometry,pass,0.7089551882016044
sponza_ivy,skipped_triangles,Skipped triangle count,Deferred,lighting,pass,-0.1626444143241556
sponza_ivy,skipped_triangles,Skipped triangle count,Deferred,tonemap,pass,-0.3442750921856703
sponza_ivy,skipped_triangles,Skipped triangle count,Prepass,total,total,0.8746776992096224
sponza_ivy,skipped_triangles,Skipped triangle count,Prepass,depth_prepass,pass,0.9608084358056824
sponza_ivy,skipped_triangles,Skipped triangle count,Prepass,geometry,pass,0.7624080289597523
sponza_ivy,skipped_triangles,Skipped triangle count,Prepass,lighting,pass,-0.20516135996709303
sponza_ivy,skipped_triangles,Skipped triangle count,Prepass,tonemap,pass,0.04774067819260818
sponza_ivy,skipped_triangles,Skipped triangle count,VisBuf,total,total,0.8186373698414413
sponza_ivy,skipped_triangles,Skipped triangle count,VisBuf,visibility,pass,0.982129986926539
sponza_ivy,skipped_triangles,Skipped triangle count,VisBuf,gbuffer,pass,0.5621679244916831
sponza_ivy,skipped_triangles,Skipped triangle count,VisBuf,lighting,pass,-0.16140500039209751
sponza_ivy,skipped_triangles,Skipped triangle count,VisBuf,tonemap,pass,0.17053192917942853
sponza_ivy,quad_instances,Quad instances,Deferred,total,total,0.7134884338225623
sponza_ivy,quad_instances,Quad instances,Deferred,geometry,pass,0.7427467124762718
sponza_ivy,quad_instances,Quad instances,Deferred,lighting,pass,0.0021729207459026435
sponza_ivy,quad_instances,Quad instances,Deferred,tonemap,pass,-0.14523240340778826
sponza_ivy,quad_instances,Quad instances,Prepass,total,total,0.6277474284051109
sponza_ivy,quad_instances,Quad instances,Prepass,depth_prepass,pass,0.5777383503577848
sponza_ivy,quad_instances,Quad instances,Prepass,geometry,pass,0.5736573426279952
sponza_ivy,quad_instances,Quad instances,Prepass,lighting,pass,0.05270075557677675
sponza_ivy,quad_instances,Quad instances,Prepass,tonemap,pass,0.5196888442509013
sponza_ivy,quad_instances,Quad instances,VisBuf,total,total,0.677416291379252
sponza_ivy,quad_instances,Quad instances,VisBuf,visibility,pass,0.6626729553793144
sponza_ivy,quad_instances,Quad instances,VisBuf,gbuffer,pass,0.5539892550636959
sponza_ivy,quad_instances,Quad instances,VisBuf,lighting,pass,0.14025204751570508
sponza_ivy,quad_instances,Quad instances,VisBuf,tonemap,pass,0.7184755664852308
sponza_ivy,quad_covered_lanes,Quad covered lanes,Deferred,total,total,0.6716669906948867
sponza_ivy,quad_covered_lanes,Quad covered lanes,Deferred,geometry,pass,0.6886515451305908
sponza_ivy,quad_covered_lanes,Quad covered lanes,Deferred,lighting,pass,0.02725915448936465
sponza_ivy,quad_covered_lanes,Quad covered lanes,Deferred,tonemap,pass,-0.05459034430938479
